Stimulus,mean_intensity,max_intensity,std_intensity,chills_ratio,mean_valence,mean_arousal,mean_liking,polarity,Stimulus name,Description ,URL
Dead Poets,32.859154929577464,100,35.87370536226376,0.5211267605633803,6.338028169014085,5.112676056338028,7.267605633802817,beneficial,,,
Dead Poets (Audio),29.661971830985916,100,33.817131610206864,0.5070422535211268,6.380281690140845,4.563380281690141,6.690140845070423,beneficial,,,
Duo Des Fleurs (Audio),26.985915492957748,100,34.38458664565792,0.4507042253521127,7.028169014084507,4.225352112676056,6.732394366197183,beneficial,,,
Feynman (audio),23.661971830985916,100,33.32778491716648,0.4084507042253521,7.084507042253521,4.028169014084507,7.323943661971831,beneficial,,,
Great Dictator,31.985714285714284,100,34.99544188006421,0.5285714285714286,6.514285714285714,5.4,7.442857142857143,beneficial,,,
Great Dictator (Audio),40.0,100,35.95926157682726,0.6216216216216216,7.108108108108108,5.04054054054054,7.324324324324325,beneficial,,,
Hallelujah Choir (Audio),51.82432432432432,100,37.02326484723042,0.7567567567567568,7.756756756756757,5.581081081081081,8.256756756756756,beneficial,Hallelujah Choir (Audio),"Choir! Choir! Choir! began as a weekly drop-in singing event, equal parts singing, comedy, and community-building. In 2015, 1500 singers came to Luminato Festival in Toronto for a very special event. Choir! leaders taught them backup parts to Leonard Cohen's Hallelujah, and Rufus Wainwright joined the crowd on stage to lead the vocals. The collective performance amplifies the power of the musical piece.",https://youtu.be/gCrUi_tRN8g
Hans Zimmer Time,39.056338028169016,100,38.588631680455045,0.5915492957746479,6.619718309859155,4.169014084507042,7.985915492957746,beneficial,,,
Interstellar,35.044117647058826,100,35.23712163331275,0.5588235294117647,6.102941176470588,3.764705882352941,6.9411764705882355,beneficial,,,
Italy Balconies,30.698630136986303,100,35.819642706941785,0.4931506849315068,6.780821917808219,4.438356164383562,7.821917808219178,beneficial,,,
Jason Silva (Audio),33.67123287671233,100,36.35475469229139,0.5616438356164384,6.808219178082192,4.52054794520548,7.383561643835616,beneficial,,,
Laughing Heart (Audio),28.305555555555557,100,36.94634056814223,0.4166666666666667,6.597222222222222,3.8472222222222223,7.25,beneficial,Laughing Heart (Audio),"The Laughing Heart is a classic poem by Charles Bukowski, that takes on the universal human condition of life and death. It acknowledges the darkness in life, but encourages us to find and cultivate the light. Written in 1993 and published posthumously by Black Sparrow Press in 1996, “The Laughing Heart” is a testament to the clarity that he found at the end of his life.",https://youtu.be/9COXybhp8p8
Miserere Me (Audio),32.432432432432435,100,40.225419987618565,0.44594594594594594,6.824324324324325,3.8783783783783785,7.4324324324324325,beneficial,,,
Motorcycle Diaries (Audio),16.676056338028168,99,28.192083310181413,0.3380281690140845,6.676056338028169,3.140845070422535,7.309859154929577,beneficial,Motorcycle Diaries (Audio),"De Ushuaia a La Quiaca (From Ushuaia to La Quiaca) by Gustavo Santaolalla is the result of an epic road trip from the northernmost tip of his native Argentina to the southernmost town. Between 1981 and 1985, Santaolalla was producer and instrumentalist on a monumental tour (also called De Ushuaia a La Quiaca) where Argentine singer-songwriting León Gieco visited folk musicians across the entire country in their own homes, and recorded with them. This haunting track comes out of that experience.",https://youtu.be/D95hQkiRNrQ
Mr. Rogers Doc,33.05194805194805,100,36.82386815493454,0.5324675324675324,6.688311688311688,3.4675324675324677,8.181818181818182,beneficial,,,
Mr. Rogers Testimony,40.5921052631579,100,39.55761288098797,0.5657894736842105,7.105263157894737,4.342105263157895,7.934210526315789,beneficial,,,
Muhammad Ali,36.34615384615385,100,37.29309219245201,0.5512820512820513,6.794871794871795,5.333333333333333,7.858974358974359,beneficial,,,
Pale Blue Dot (Audio),26.92753623188406,100,35.57813226282639,0.43478260869565216,6.666666666666667,4.36231884057971,7.028985507246377,beneficial,,,
Pema Chodron (Audio),27.0,100,36.721733541401804,0.43661971830985913,6.267605633802817,4.154929577464789,6.816901408450704,beneficial,Pema Chodron (Audio),"Pema Chodron is an American Tibetan Buddhist nun and a leading meditation teacher, known for her down-to-earth interpretations for Western audiences. In this 2007 talk at the Omega Institute, she offers practical advice for what to do when “you're about to lose it.”",https://youtu.be/kAjDjzfVhGU
Perfect Planet,28.083333333333332,96,31.392449975956925,0.5277777777777778,6.847222222222222,4.194444444444445,7.611111111111111,beneficial,,,
Radiohead Reckoner (Audio),26.91891891891892,100,35.92524840259085,0.4189189189189189,6.594594594594595,4.3108108108108105,6.621621621621622,beneficial,,,
Remember the Titans,36.87341772151899,100,36.15577660290495,0.569620253164557,5.936708860759493,4.531645569620253,7.7594936708860756,beneficial,,,
Rocky,39.46666666666667,100,36.801635294649074,0.6133333333333333,6.773333333333333,6.12,7.466666666666667,beneficial,,,
Sigur Ros - Hoppipolla (Audio),30.58974358974359,100,37.9830570216856,0.44871794871794873,6.371794871794871,4.282051282051282,7.102564102564102,beneficial,,,
Thai Medicine,38.6025641025641,100,36.09883249671252,0.5769230769230769,6.730769230769231,4.166666666666667,7.935897435897436,beneficial,,,
Think Too Much Feel Too Little,39.93333333333333,100,35.19994369364866,0.6266666666666667,6.72,4.733333333333333,7.386666666666667,beneficial,,,
Think Too Much Feel Too Little (audio),35.26086956521739,100,34.59201377312103,0.6086956521739131,6.3768115942028984,4.913043478260869,6.942028985507246,beneficial,,,
Unbroken (Audio),39.906666666666666,100,38.57711593514831,0.6133333333333333,7.053333333333334,4.946666666666666,7.746666666666667,beneficial,,,
Unsung Hero (Thai Insurance),38.01470588235294,100,40.09782539496051,0.5441176470588235,7.544117647058823,4.514705882352941,8.411764705882353,beneficial,,,
Wild Geese (Audio),28.0,100,36.05773148715819,0.4605263157894737,6.605263157894737,3.75,7.131578947368421,beneficial,Wild Geese (Audio),"Mary Oliver’s “Wild Geese” is a poetic guide to leading a peaceful and authentic life. Instead of striving for perfection, one may find perfection in connecting with themself, just as they are. Oliver’s work is inspired by nature and reminds us of humans’ place within nature, that we are part of a larger ecosystem with its own rhythms that are greater than human constructs and troubles.",https://youtu.be/AfVHA6h9h0g
